code_pays,pays,annee,age_valeur,genre,sector,sector_group,population,tranche_age
CIV,Côte d'Ivoire,2026,15,female,Agriculture; forestry and fishing,Agriculture,49721,15-24
CIV,Côte d'Ivoire,2026,15,female,"Arts, entertainment and recreation",Services,156,15-24
CIV,Côte d'Ivoire,2026,15,female,Construction,Industry,326,15-24
CIV,Côte d'Ivoire,2026,15,female,Education,Services,237,15-24
CIV,Côte d'Ivoire,2026,15,female,"Electricity; gas, steam and air conditioning supply",Industry,0,15-24
CIV,Côte d'Ivoire,2026,15,female,Financial and insurance activities,Services,296,15-24
CIV,Côte d'Ivoire,2026,15,female,Human health and social work activities,Services,902,15-24
CIV,Côte d'Ivoire,2026,15,female,Information and communication,Services,183,15-24
CIV,Côte d'Ivoire,2026,15,female,Manufacturing,Industry,15772,15-24
CIV,Côte d'Ivoire,2026,15,female,Mining and quarrying,Industry,105,15-24
CIV,Côte d'Ivoire,2026,15,female,Other service activities,Services,7404,15-24
CIV,Côte d'Ivoire,2026,15,female,"Professional, scientific and technical activities",Services,55,15-24
CIV,Côte d'Ivoire,2026,15,female,Public administration and defence; compulsory social security,Services,247,15-24
CIV,Côte d'Ivoire,2026,15,female,Real estate activities,Services,154,15-24
CIV,Côte d'Ivoire,2026,15,female,Transportation and storage,Services,181,15-24
CIV,Côte d'Ivoire,2026,15,female,"Water supply; sewerage, waste management and remediation activities",Industry,46,15-24
CIV,Côte d'Ivoire,2026,15,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,20508,15-24
CIV,Côte d'Ivoire,2026,15,female,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services,8652,15-24
CIV,Côte d'Ivoire,2026,15,female,Administrative and support service activities,Services,171,15-24
CIV,Côte d'Ivoire,2026,15,female,Accommodation and food service activities,Services,5715,15-24
CIV,Côte d'Ivoire,2026,15,female,Activities of extraterritorial organizations and bodies,Services,80,15-24
CIV,Côte d'Ivoire,2026,16,female,Accommodation and food service activities,Services,5585,15-24
CIV,Côte d'Ivoire,2026,16,female,Activities of extraterritorial organizations and bodies,Services,78,15-24
CIV,Côte d'Ivoire,2026,16,female,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services,8453,15-24
CIV,Côte d'Ivoire,2026,16,female,Administrative and support service activities,Services,168,15-24
CIV,Côte d'Ivoire,2026,16,female,Agriculture; forestry and fishing,Agriculture,48576,15-24
CIV,Côte d'Ivoire,2026,16,female,"Arts, entertainment and recreation",Services,153,15-24
CIV,Côte d'Ivoire,2026,16,female,Construction,Industry,316,15-24
CIV,Côte d'Ivoire,2026,16,female,Education,Services,230,15-24
CIV,Côte d'Ivoire,2026,16,female,"Electricity; gas, steam and air conditioning supply",Industry,0,15-24
CIV,Côte d'Ivoire,2026,16,female,Financial and insurance activities,Services,289,15-24
CIV,Côte d'Ivoire,2026,16,female,Human health and social work activities,Services,881,15-24
CIV,Côte d'Ivoire,2026,16,female,Information and communication,Services,179,15-24
CIV,Côte d'Ivoire,2026,16,female,Manufacturing,Industry,15409,15-24
CIV,Côte d'Ivoire,2026,16,female,Mining and quarrying,Industry,103,15-24
CIV,Côte d'Ivoire,2026,16,female,Other service activities,Services,7233,15-24
CIV,Côte d'Ivoire,2026,16,female,"Professional, scientific and technical activities",Services,54,15-24
CIV,Côte d'Ivoire,2026,16,female,Public administration and defence; compulsory social security,Services,242,15-24
CIV,Côte d'Ivoire,2026,16,female,Real estate activities,Services,150,15-24
CIV,Côte d'Ivoire,2026,16,female,Transportation and storage,Services,176,15-24
CIV,Côte d'Ivoire,2026,16,female,"Water supply; sewerage, waste management and remediation activities",Industry,45,15-24
CIV,Côte d'Ivoire,2026,16,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,20035,15-24
CIV,Côte d'Ivoire,2026,17,female,Accommodation and food service activities,Services,5450,15-24
CIV,Côte d'Ivoire,2026,17,female,Activities of extraterritorial organizations and bodies,Services,77,15-24
CIV,Côte d'Ivoire,2026,17,female,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services,8248,15-24
CIV,Côte d'Ivoire,2026,17,female,Administrative and support service activities,Services,163,15-24
CIV,Côte d'Ivoire,2026,17,female,Agriculture; forestry and fishing,Agriculture,47406,15-24
CIV,Côte d'Ivoire,2026,17,female,"Arts, entertainment and recreation",Services,150,15-24
CIV,Côte d'Ivoire,2026,17,female,Construction,Industry,310,15-24
CIV,Côte d'Ivoire,2026,17,female,Education,Services,226,15-24
CIV,Côte d'Ivoire,2026,17,female,"Electricity; gas, steam and air conditioning supply",Industry,0,15-24
CIV,Côte d'Ivoire,2026,17,female,Financial and insurance activities,Services,283,15-24
CIV,Côte d'Ivoire,2026,17,female,Human health and social work activities,Services,860,15-24
CIV,Côte d'Ivoire,2026,17,female,Information and communication,Services,175,15-24
CIV,Côte d'Ivoire,2026,17,female,Manufacturing,Industry,15038,15-24
CIV,Côte d'Ivoire,2026,17,female,Mining and quarrying,Industry,101,15-24
CIV,Côte d'Ivoire,2026,17,female,Other service activities,Services,7059,15-24
CIV,Côte d'Ivoire,2026,17,female,"Professional, scientific and technical activities",Services,52,15-24
CIV,Côte d'Ivoire,2026,17,female,Public administration and defence; compulsory social security,Services,235,15-24
CIV,Côte d'Ivoire,2026,17,female,Real estate activities,Services,147,15-24
CIV,Côte d'Ivoire,2026,17,female,Transportation and storage,Services,173,15-24
CIV,Côte d'Ivoire,2026,17,female,"Water supply; sewerage, waste management and remediation activities",Industry,44,15-24
CIV,Côte d'Ivoire,2026,17,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,19554,15-24
CIV,Côte d'Ivoire,2026,18,female,Accommodation and food service activities,Services,5313,15-24
CIV,Côte d'Ivoire,2026,18,female,Activities of extraterritorial organizations and bodies,Services,75,15-24
