code_pays,annee,genre,age_valeur,broad_sector,sector21,population,tranche_age
CIV,2015,female,15,Services,Accommodation and food service activities,10300.0,15-24
CIV,2015,female,16,Services,Accommodation and food service activities,10028.0,15-24
CIV,2015,female,17,Services,Accommodation and food service activities,9708.0,15-24
CIV,2015,female,18,Services,Accommodation and food service activities,9320.0,15-24
CIV,2015,female,19,Services,Accommodation and food service activities,8892.0,15-24
CIV,2015,female,20,Services,Accommodation and food service activities,8469.0,15-24
CIV,2015,female,21,Services,Accommodation and food service activities,8042.0,15-24
CIV,2015,female,22,Services,Accommodation and food service activities,7654.0,15-24
CIV,2015,female,23,Services,Accommodation and food service activities,7332.0,15-24
CIV,2015,female,24,Services,Accommodation and food service activities,7058.0,15-24
CIV,2016,female,15,Services,Accommodation and food service activities,9953.0,15-24
CIV,2016,female,16,Services,Accommodation and food service activities,9713.0,15-24
CIV,2016,female,17,Services,Accommodation and food service activities,9425.0,15-24
CIV,2016,female,18,Services,Accommodation and food service activities,9068.0,15-24
CIV,2016,female,19,Services,Accommodation and food service activities,8669.0,15-24
CIV,2016,female,20,Services,Accommodation and food service activities,8276.0,15-24
CIV,2016,female,21,Services,Accommodation and food service activities,7878.0,15-24
CIV,2016,female,22,Services,Accommodation and food service activities,7513.0,15-24
CIV,2016,female,23,Services,Accommodation and food service activities,7203.0,15-24
CIV,2016,female,24,Services,Accommodation and food service activities,6932.0,15-24
CIV,2017,female,15,Services,Accommodation and food service activities,10269.0,15-24
CIV,2017,female,16,Services,Accommodation and food service activities,10032.0,15-24
CIV,2017,female,17,Services,Accommodation and food service activities,9750.0,15-24
CIV,2017,female,18,Services,Accommodation and food service activities,9402.0,15-24
CIV,2017,female,19,Services,Accommodation and food service activities,9011.0,15-24
CIV,2017,female,20,Services,Accommodation and food service activities,8627.0,15-24
CIV,2017,female,21,Services,Accommodation and food service activities,8241.0,15-24
CIV,2017,female,22,Services,Accommodation and food service activities,7879.0,15-24
CIV,2017,female,23,Services,Accommodation and food service activities,7562.0,15-24
CIV,2017,female,24,Services,Accommodation and food service activities,7277.0,15-24
CIV,2018,female,15,Services,Accommodation and food service activities,10432.0,15-24
CIV,2018,female,16,Services,Accommodation and food service activities,10190.0,15-24
CIV,2018,female,17,Services,Accommodation and food service activities,9911.0,15-24
CIV,2018,female,18,Services,Accommodation and food service activities,9575.0,15-24
CIV,2018,female,19,Services,Accommodation and food service activities,9205.0,15-24
CIV,2018,female,20,Services,Accommodation and food service activities,8840.0,15-24
CIV,2018,female,21,Services,Accommodation and food service activities,8474.0,15-24
CIV,2018,female,22,Services,Accommodation and food service activities,8126.0,15-24
CIV,2018,female,23,Services,Accommodation and food service activities,7810.0,15-24
CIV,2018,female,24,Services,Accommodation and food service activities,7518.0,15-24
CIV,2019,female,15,Services,Accommodation and food service activities,10631.0,15-24
CIV,2019,female,16,Services,Accommodation and food service activities,10371.0,15-24
CIV,2019,female,17,Services,Accommodation and food service activities,10084.0,15-24
